"Series1","Series2","Series3","Series4","Series5","Series6"
-0.961260329,-0.275960112,0.968408293635142,-0.755015223,2.988971,0.4347619
-0.750157941,1.274766917,0.521291244158236,0.0808861034,2.965701,2.340153
1.268003768,-1.005580111,-1.04895169028159,1.269504598,1.771219,2.803299
1.493013425,-0.755960768,-2.31306139848821,-1.734669907,1.690069,2.863605
-0.552469471,0.3282093571,-0.455823269162497,-0.586411377,1.895003,2.994216
1.030509472,0.1979941474,-0.867205781348239,-1.428490807,2.00452,3.203627
0.0053332843,1.15030556,-2.11022304669813,-1.585264335,2.244668,3.669073
2.132817254,0.1764168642,-2.33333944454172,0.604018349,5.475014,3.604585
-0.923122607,-1.133306673,-1.23432385886836,-1.938117084,8.559855,2.327056
-1.375878731,0.1764168642,-0.0330326604345803,-0.996043108,11.06912,0.398662
0.0550656943,-0.697972119,-0.599650830623891,-1.137534841,13.17815,-1.799899
-0.622792921,-1.133306673,-0.554689780372681,-0.089975677,13.70752,-4.632084
1.045030777,1.212774387,-1.98346405570333,-0.27968749,11.81164,-6.135387
-0.946793268,1.09186266,-1.38657985905371,1.168572338,8.861014,-6.011484
-1.639492667,-0.434364807,-0.271445518781873,1.104104384,8.923484,-5.574396
0.3696042157,-0.62565632,0.592482834550872,-0.646404012,10.00222,-3.714361
-0.929405155,-0.532887253,0.192231524548338,0.8547738782,10.85213,-4.249789
-1.00803096,-0.275960112,-1.00388881472688,-0.4505572,10.40634,-4.41691
-0.027756592,1.097030275,-2.02166745017497,-0.464568246,10.66679,-4.293541
-1.096293009,1.15030556,-2.36897235119414,-0.966043108,11.25851,-5.5523
0.4858249258,0.1150516775,-1.78505474547041,-0.917014448,9.912367,-7.531639
1.493013425,-1.52059296,0.938193954227524,-0.370860044,8.083753,-7.102106
-0.989353948,-1.005580111,0.783263539408134,-1.655383294,7.067246,-8.816025
-1.815777267,0.4327435313,0.520089534698302,-0.686015223,6.905847,-10.17319
0.228179699,-0.62565632,0.620742117127504,1.616681201,6.492375,-10.43292
2.423971746,1.5527793,-0.445264167371276,-1.181430272,5.639516,-11.36922
-1.034209768,0.5408784889,-2.46540939728965,1.663031872,6.577741,-11.72588
2.108950518,1.041726527,-2.13782306621437,-1.175430272,6.72443,-11.81689
-0.466339159,-0.250595158,-0.609377804330802,0.9356985363,5.464074,-12.12841
0.4430215698,1.041726527,-0.284923208522909,-0.38134264,7.395939,-12.83998
-0.140690039,-1.036444581,0.205283766123205,-1.166430272,8.64733,-13.39088
-0.434843709,0.1031384246,0.138858293344939,1.56116539,9.20317,-13.84104
-0.174248945,0.3617198507,-0.222368809376106,0.8097379326,11.52448,-14.87847
0.6995995158,0.3380721311,-0.106446493910191,0.6453499509,12.50279,-17.253
-0.595400114,-1.52059296,1.03199416314974,-1.501264335,11.96375,-18.99258
0.4540308849,-0.424926733,0.261525333841267,-0.112921847,12.77558,-19.4971
-1.182412759,1.041726527,1.87180898367351,0.3676047135,13.95925,-21.58263
-1.376229785,1.041726527,2.59707010857019,2.379829162,13.5194,-22.12933
-1.1036444,-0.032891659,3.31532915288367,1.699031872,13.37984,-22.39848
1.268003768,0.9047162374,2.78680358211542,0.8733010365,14.44116,-21.96281
-1.199463027,0.5115547058,1.97217330306246,-0.902820045,16.25037,-24.78454
-1.162639658,0.1563983746,0.49426718705816,-1.558718689,15.89519,-26.97859
0.5895424189,-0.495090908,-0.465464937616519,-1.670395969,15.45506,-28.64461
1.268003768,-0.372974574,-0.0298244776772825,-1.474264335,16.62765,-27.26829
0.8212671259,-0.855814855,0.571531118690504,1.676681201,17.4863,-27.34
-0.732012411,1.754940889,2.18054944526627,-0.136147903,16.09373,-27.41485
1.201958233,-0.130678649,0.728522470881951,1.60616539,16.65157,-27.62952
2.132817254,0.3380721311,-1.23955199026046,-0.614015223,18.6115,-27.18034
0.8881534406,0.0132389404,-0.777808190416375,-2.44057607,20.34744,-28.67655
1.09964671,1.837405746,-2.02668908355544,2.635605879,21.4797,-27.99024
2.108950518,1.259881619,-1.64236451737391,-0.16568749,20.52462,-27.35679
